,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
1,Reporte indigo,23/12/2022,"Bicicleta Blanca, por una ciudad sin muertes de ciclistas",playwright,playwright,711,3.41,https://www.reporteindigo.com/reporte/bicicleta-blanca-por-una-ciudad-sin-muertes-de-ciclistas/,HTTP 403,"Lo sentimos pero tu petición ha sido bloqueada por razones de seguridad. Esto puede deberse al uso de una VPN o visitas desde países que no están permitidos.

Si consideras que esto es un error, por favor, escríbenos desdeeste formularioindicando tu correo. Gracias.

We are sorry but your request has been blocked. This may be due to using a VPN or visiting from countries that are not allowed.

If you think this is an error, please send us an email fromthis formwith your email address. Thanks.

Lamentamos mas o seu pedido foi bloqueado. Isso pode ser devido ao uso de VPN ou à visita de países não permitidos.

Se você acha que isso é um erro, envie-nos uma mensagem a partirdeste formuláriocom seu e-mail."
4,Notisistema,06/12/2022,Hombre accidentado por cables colgantes nunca logró operación en el IMSS,playwright,playwright,252,5.0,https://www.notisistema.com/noticias/hombre-accidentado-por-cables-colgantes-nunca-logro-operacion-en-el-imss/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
5,Notisistema,06/12/2022,Empresa de telecomunicaciones se desentiende luego que sus cables provocaron lesiones a ciclista,playwright,playwright,252,4.02,https://www.notisistema.com/noticias/empresa-de-telecomunicaciones-se-desentiende-luego-que-sus-cables-provocaron-lesiones-a-ciclista/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
7,UDGTV,06/12/2022,Limpieza de la ciclovia de Santa Elena,playwright,playwright,113,4.65,https://udgtv.com/radio/limpieza-la-ciclovia-santa-elena/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
16,UDGTV,25/11/2022,"Por abandono y fallas del servicio, MiBici pierde casi la mitad de usuarios en tres años",playwright,playwright,113,4.77,https://udgtv.com/noticias/por-abandono-y-fallas-mibici-pierde-usuarios/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
17,Reporte indigo,24/11/2022,Vulnerabilidad de ciclistas en calles de Guadalajara,playwright,playwright,711,3.34,https://www.reporteindigo.com/reporte/vulnerabilidad-de-ciclistas-en-calles-de-guadalajara-movilidad/,HTTP 403,"Lo sentimos pero tu petición ha sido bloqueada por razones de seguridad. Esto puede deberse al uso de una VPN o visitas desde países que no están permitidos.

Si consideras que esto es un error, por favor, escríbenos desdeeste formularioindicando tu correo. Gracias.

We are sorry but your request has been blocked. This may be due to using a VPN or visiting from countries that are not allowed.

If you think this is an error, please send us an email fromthis formwith your email address. Thanks.

Lamentamos mas o seu pedido foi bloqueado. Isso pode ser devido ao uso de VPN ou à visita de países não permitidos.

Se você acha que isso é um erro, envie-nos uma mensagem a partirdeste formuláriocom seu e-mail."
39,Milenio,18/10/2022,Ciclovías son necesarias para seguridad de ciclistas; colectivo Bici Blanca a manifestantes,error,error,0,1.95,https://www.milenio.com/politica/comunidad/bici-blanca-ciclovias-necesarias-seguridad-ciclistas,HTTP 403,
40,Notisistema,17/10/2022,Retomarán protestas contra coclovía de avenida Guadalupe,playwright,playwright,252,4.89,https://www.notisistema.com/noticias/retomaran-protestas-contra-coclovia-de-avenida-guadalupe/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
47,Milenio,04/10/2022,En 2022 aumentan robos y vandalismo a unidades de Mi Bici Pública,error,error,0,1.45,https://www.milenio.com/politica/comunidad/bici-publica-2022-aumentan-robos-vandalismo,HTTP 403,
48,Lider 919,01/10/2022,Ciclovía en la zona de El Bajío estará terminada en noviembre,error,error,0,4.86,https://lider919.com/ciclovia-en-la-zona-de-el-bajio-estara-terminada-en-noviembre,HTTP 404,
