,medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
19,Crónica Jalisco,29/11/2023,Renovarán con Plan Maestro el sistema MiBici para ampliar cobertura en el AMG,error,error,0,138.58,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-renovaran_con_plan_maestro_el_sistema_mibici_para_ampliar_cobertura_en_el_amg-124411-2023 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x79605d24f4d0>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
27,Semanario La laguna,03/11/2023,"HAN PASADO 10 MESES DESDE QUE EL GOBERNADOR DE JALISCO, ENRIQUE ALFARO RAMÍREZ, REALIZÓ LA ENTREGA DE LA OBRA",error,error,0,3.1,https://semanariolaguna.com/76840,HTTP 404,
49,Azteca Jalisco,20/09/2023,VIDEO: Captan a ciclista pedaleando sobre carriles centrales de Mariano Otero,playwright,playwright,156,8.35,https://www.aztecajalisco.com/azteca-noticias/captan-ciclista-pedaleando-carriles-centrales-mariano-otero/,HTTP 404,"We and our partners process data for the following purposes:Share My Personal Information

Sigue informándote y mantente al día con los temas más relevantes"
53,Crónica Jalisco,10/09/2023,Vía RecreActiva cumple 19 años de vida y atrae a 100 mil personas cada domingo,error,error,0,141.23,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-via_recreactiva_cumple_19_anos_de_vida_y_atrae_a_100_mil_personas_cada_domingo-123220-2023 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x79605d24e350>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
76,Soy nomada,09/08/2023,Donde hay ciclovias en Guadalajara,error,error,0,3.54,chrome-error://chromewebdata/,"ConnectionError: HTTPSConnectionPool(host='www.soynomada.news', port=443): Max retries exceeded with url: /viajes/Donde-hay-ciclovias-en-Guadalajara-y-en-que-calles-estan-20230809-0004.html (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x79605cf4ed50>: Failed to resolve 'www.soynomada.news' ([Errno -2] Name or service not known)""))",
78,Soy nomada,08/08/2023,Es facil moverse en bicicleta por el centro de Guadalajara,error,error,0,2.87,chrome-error://chromewebdata/,"ConnectionError: HTTPSConnectionPool(host='www.soynomada.news', port=443): Max retries exceeded with url: /mochileros/Es-facil-moverse-en-bicicleta-en-el-centro-de-Guadalajara-20230808-0001.html (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x79605ebdf9d0>: Failed to resolve 'www.soynomada.news' ([Errno -2] Name or service not known)""))",
91,UDGTV,11/07/2023,Realizan segunda rodada ciclista,playwright,playwright,113,5.61,https://udgtv.com/radio/realizan-segunda-rodada-ciclista/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
97,Reporte diario,29/06/2023,Dos Ciclistas Colisionan En Etziquio Corona.,playwright,playwright,946,4.74,https://www.reportediario.com.mx/noticias/puerto-vallarta/dos-ciclistas-colisionan-en-etziquio-corona.,HTTP 403,"En un inesperado incidente vial ocurrido hoy en la avenida Etziquio Corona, dos ciclistas se vieron involucrados en una colisión que dejó a uno de ellos con una lesión en el tobillo. Los hechos ocurrieron cuando ambos ciclistas transitaban en direcciones opuestas, chocando entre sí y causando daños materiales en sus bicicletas.

A pesar de la gravedad del impacto, una pipa que pasaba por el lugar no tuvo relación directa con el accidente, aunque lamentablemente terminó aplastando una de las bicicletas involucradas.

Este lamentable suceso sirve como recordatorio de la importancia de mantener la seguridad vial, especialmente al compartir las vías con otros usuarios, como ciclistas y peatones. Es esencial respetar las normas de tránsito y conducir de manera responsable para prevenir accidentes y proteger la integridad de todos los involucrados.

Redacción: Brayan Celis#Reporte #ciclistas #accidente #puertovallarta #hoy #EtziquioCorona"
98,UDGTV,29/06/2023,A través de la rodada ciclista Hazte Bicible fomentan cultura vial,playwright,playwright,113,4.66,https://udgtv.com/noticias/nacional/traves-la-rodada-ciclista-hazte-bicible-fomentan-cultura-vial/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
101,UDGTV,27/06/2023,Piden mayor cobertura del programa Mi Bici hacia Tonalá y hacia Miravalle,playwright,playwright,113,5.01,https://udgtv.com/noticias/piden-mayor-cobertura-del-programa-mi-bici-hacia-tonala-y-hacia-miravalle/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
108,TV azteca,21/06/2023,¡Basura y escombros! Así son las condiciones de ciclovía en Av. Guadalupe,playwright,playwright,156,10.13,https://www.aztecajalisco.com/azteca-noticias/basura-escombros-condiciones-ciclovia-guadalupe/,HTTP 404,"We and our partners process data for the following purposes:Share My Personal Information

Sigue informándote y mantente al día con los temas más relevantes"
109,UDGTV,20/06/2023,"Habitantes de Santa Cecilia, en Zapopan, rechazan construcción de ciclovía",playwright,playwright,113,5.72,https://udgtv.com/noticias/habitantes-santa-cecilia-zapopan-rechazan-construccion-ciclovia/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
114,TV azteca,12/06/2023,¡Casi muertos! Así lucen los árboles de la ciclovía de MiMacro Periférico,playwright,playwright,156,8.47,https://www.aztecajalisco.com/azteca-noticias/casi-muertos-lucen-arboles-ciclovia-mimacro-periferico/,HTTP 404,"We and our partners process data for the following purposes:Share My Personal Information

Sigue informándote y mantente al día con los temas más relevantes"
116,UDGTV,11/06/2023,"Tras medio siglo en la ciudad, Ignacio Martínez conoce Guadalajara en bicicleta por primera vez",playwright,playwright,113,5.81,https://udgtv.com/noticias/tras-medio-siglo-en-ciudad-ignacio-martinez-conoce-guadalajara-bicicleta-primera-vez/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
129,UDGTV,03/06/2023,Usuarios se manifiestan para exigir mantenimiento al servicio de MiBici,playwright,playwright,113,4.51,https://udgtv.com/noticias/usuarios-se-manifiestan-para-exigir-mantenimiento-al-servicio-de-mibici/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
133,UDGTV,02/06/2023,"Un día antes de la protesta contra MiBici, rescatan 220 unidades para paliar la escasez",playwright,playwright,113,5.4,https://udgtv.com/noticias/un-dia-antes-protesta-contra-mibici-rescatan-220-unidades-para-paliar-escasez/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
138,Notisistema,31/05/2023,Piden a ciclistas respetar el sentido de circulación en ciclovías,playwright,playwright,252,6.03,https://www.notisistema.com/noticias/piden-a-ciclistas-respetar-el-sentido-de-circulacion-en-ciclovias/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
139,UDGTV,30/05/2023,"Pese a contratos millonarios, empresa proveedora de MiBici incumple en Guadalajara y en Ciudad de México",playwright,playwright,113,5.13,https://udgtv.com/noticias/pese-a-contratos-millonarios-empresa-proveedora-de-mibici-incumple-en-guadalajara-y-en-ciudad-de-mexico/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
143,TV azteca,23/05/2023,Video: Ciclistas reportan que automovilistas no respetan ciclovías en el Área Metropolitana,playwright,playwright,156,11.32,https://www.aztecajalisco.com/azteca-noticias/ciclistas-reportan-automovilistas-no-respetan-ciclovias-amg/,HTTP 404,"We and our partners process data for the following purposes:Share My Personal Information

Sigue informándote y mantente al día con los temas más relevantes"
150,UDGTV,15/05/2023,MiBici lícita 60 estaciones y 772 bicicletas; usuarios reportan deficiencias en el servicio,playwright,playwright,113,5.63,https://udgtv.com/noticias/mibici-licita-estaciones-y-bicicletas-usuarios-reportan-deficiencias-servicio/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
152,UDGTV,14/05/2023,"Paseantes de la Vía RecreActiva piden seguridad en torno a la zona de la Minerva, por robo de autopartes",playwright,playwright,113,5.75,https://udgtv.com/noticias/paseantes-de-la-via-recreactiva-piden-seguridad-en-torno-a-la-zona-de-la-minerva-por-robo-de-autopartes/,HTTP 404,No se pudo encontrar la página solicitada. Esto podría ser un error ortográfico en la URL o una página eliminada.
153,Semanario laguna,11/05/2023,RESPONDE JOCOTEPEC A SIOP ANTE RESPONSABILIDAD DE ILUMINACIÓN DE CICLOVÍA,error,error,0,2.06,https://semanariolaguna.com/73702,HTTP 404,
156,Notisistema,08/05/2023,"Aunque construyan ciclovía, no rehabilitarán todas las banquetas de Javier Mina",playwright,playwright,252,5.25,https://www.notisistema.com/noticias/aunque-construyan-ciclovia-no-rehabilitaran-todas-las-banquetas-de-javier-mina/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
157,Notisistema,08/05/2023,"Afirma alcalde que ciclovía de Javier Mina, no se recorta, sino que se extiende",playwright,playwright,252,4.91,https://www.notisistema.com/noticias/afirma-alcalde-que-ciclovia-de-javier-mina-no-se-recorta-sino-que-se-extiende/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
